鶴見線大川支線,odpt.Railway:JR-East.TsurumiOkawaBranch,odpt.Operator:JR-East,2,false
高崎線,odpt.Railway:JR-East.Takasaki,odpt.Operator:JR-East,25,true
田沢湖線,odpt.Railway:JR-East.Tazawako,odpt.Operator:JR-East,0,false
東金線,odpt.Railway:JR-East.Togane,odpt.Operator:JR-East,5,true
東北本線,odpt.Railway:JR-East.Tohoku,odpt.Operator:JR-East,3,false
米坂線,odpt.Railway:JR-East.Yonesaka,odpt.Operator:JR-East,0,false
東海道線,odpt.Railway:JR-East.Tokaido,odpt.Operator:JR-East,21,true
津軽線,odpt.Railway:JR-East.Tsugaru,odpt.Operator:JR-East,0,false
山田線,odpt.Railway:JR-East.Yamada,odpt.Operator:JR-East,0,false
鶴見線海芝浦支線,odpt.Railway:JR-East.TsurumiUmiShibauraBranch,odpt.Operator:JR-East,3,true
鶴見線,odpt.Railway:JR-East.Tsurumi,odpt.Operator:JR-East,10,true
内房線,odpt.Railway:JR-East.Uchibo,odpt.Operator:JR-East,32,true
上野東京ライン,odpt.Railway:JR-East.UenoTokyo,odpt.Operator:JR-East,0,false
羽越本線,odpt.Railway:JR-East.Uetsu,odpt.Operator:JR-East,0,false
宇都宮線,odpt.Railway:JR-East.Utsunomiya,odpt.Operator:JR-East,34,true
弥彦線,odpt.Railway:JR-East.Yahiko,odpt.Operator:JR-East,0,false
山手線,odpt.Railway:JR-East.Yamanote,odpt.Operator:JR-East,29,true
横浜線,odpt.Railway:JR-East.Yokohama,odpt.Operator:JR-East,20,true
横須賀線,odpt.Railway:JR-East.Yokosuka,odpt.Operator:JR-East,19,true
千代田線,odpt.Railway:TokyoMetro.Chiyoda,odpt.Operator:TokyoMetro,20,true
副都心線,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Operator:TokyoMetro,16,true
銀座線,odpt.Railway:TokyoMetro.Ginza,odpt.Operator:TokyoMetro,19,true
半蔵門線,odpt.Railway:TokyoMetro.Hanzomon,odpt.Operator:TokyoMetro,14,true
日比谷線,odpt.Railway:TokyoMetro.Hibiya,odpt.Operator:TokyoMetro,21,true
丸ノ内線支線,odpt.Railway:TokyoMetro.MarunouchiBranch,odpt.Operator:TokyoMetro,4,true
丸ノ内線,odpt.Railway:TokyoMetro.Marunouchi,odpt.Operator:TokyoMetro,25,true
南北線,odpt.Railway:TokyoMetro.Namboku,odpt.Operator:TokyoMetro,19,true
東西線,odpt.Railway:TokyoMetro.Tozai,odpt.Operator:TokyoMetro,23,true
有楽町線,odpt.Railway:TokyoMetro.Yurakucho,odpt.Operator:TokyoMetro,24,true
東京さくらトラム（都電荒川線）,odpt.Railway:Toei.Arakawa,odpt.Operator:Toei,30,true
浅草線,odpt.Railway:Toei.Asakusa,odpt.Operator:Toei,20,true
三田線,odpt.Railway:Toei.Mita,odpt.Operator:Toei,27,true
日暮里・舎人ライナー,odpt.Railway:Toei.NipporiToneri,odpt.Operator:Toei,13,true
大江戸線,odpt.Railway:Toei.Oedo,odpt.Operator:Toei,38,true
新宿線,odpt.Railway:Toei.Shinjuku,odpt.Operator:Toei,21,true
りんかい線,odpt.Railway:TWR.Rinkai,odpt.Operator:TWR,8,true
動物園線,odpt.Railway:Keio.Dobutsuen,odpt.Operator:Keio,2,true
井の頭線,odpt.Railway:Keio.Inokashira,odpt.Operator:Keio,17,true
競馬場線,odpt.Railway:Keio.Keibajo,odpt.Operator:Keio,2,true
京王新線,odpt.Railway:Keio.KeioNew,odpt.Operator:Keio,4,true
京王線,odpt.Railway:Keio.Keio,odpt.Operator:Keio,32,true
相模原線,odpt.Railway:Keio.Sagamihara,odpt.Operator:Keio,12,true
高尾線,odpt.Railway:Keio.Takao,odpt.Operator:Keio,7,true
グリーンライン,odpt.Railway:YokohamaMunicipal.Green,odpt.Operator:YokohamaMunicipal,10,true
ブルーライン,odpt.Railway:YokohamaMunicipal.Blue,odpt.Operator:YokohamaMunicipal,32,true
江ノ島線,odpt.Railway:Odakyu.Enoshima,odpt.Operator:Odakyu,17,false
小田原線,odpt.Railway:Odakyu.Odawara,odpt.Operator:Odakyu,47,false
多摩線,odpt.Railway:Odakyu.Tama,odpt.Operator:Odakyu,8,false
久里浜線,odpt.Railway:Keikyu.Kurihama,odpt.Operator:Keikyu,9,false
空港線,odpt.Railway:Keikyu.Airport,odpt.Operator:Keikyu,7,false
大師線,odpt.Railway:Keikyu.Daishi,odpt.Operator:Keikyu,7,false
京急本線,odpt.Railway:Keikyu.Main,odpt.Operator:Keikyu,50,false
逗子線,odpt.Railway:Keikyu.Zushi,odpt.Operator:Keikyu,4,false
成田スカイアクセス線,odpt.Railway:Keisei.NaritaSkyAccess,odpt.Operator:Keisei,8,false
千葉線,odpt.Railway:Keisei.Chiba,odpt.Operator:Keisei,10,false
千原線,odpt.Railway:Keisei.Chihara,odpt.Operator:Keisei,6,false
東成田線,odpt.Railway:Keisei.HigashiNarita,odpt.Operator:Keisei,2,false
金町線,odpt.Railway:Keisei.Kanamachi,odpt.Operator:Keisei,3,false
京成本線,odpt.Railway:Keisei.Main,odpt.Operator:Keisei,42,false
押上線,odpt.Railway:Keisei.Oshiage,odpt.Operator:Keisei,6,false
拝島線,odpt.Railway:Seibu.Haijima,odpt.Operator:Seibu,8,false
池袋線,odpt.Railway:Seibu.Ikebukuro,odpt.Operator:Seibu,31,false
国分寺線,odpt.Railway:Seibu.Kokubunji,odpt.Operator:Seibu,5,false
狭山線,odpt.Railway:Seibu.Sayama,odpt.Operator:Seibu,3,false
西武秩父線,odpt.Railway:Seibu.SeibuChichibu,odpt.Operator:Seibu,6,false
西武有楽町線,odpt.Railway:Seibu.SeibuYurakucho,odpt.Operator:Seibu,3,false
西武園線,odpt.Railway:Seibu.Seibuen,odpt.Operator:Seibu,2,false
新宿線,odpt.Railway:Seibu.Shinjuku,odpt.Operator:Seibu,29,false
多摩川線,odpt.Railway:Seibu.Tamagawa,odpt.Operator:Seibu,6,false
多摩湖線,odpt.Railway:Seibu.Tamako,odpt.Operator:Seibu,7,false
豊島線,odpt.Railway:Seibu.Toshima,odpt.Operator:Seibu,2,false
山口線,odpt.Railway:Seibu.Yamaguchi,odpt.Operator:Seibu,3,false
世田谷線,odpt.Railway:Tokyu.Setagaya,odpt.Operator:Tokyu,10,false
田園都市線,odpt.Railway:Tokyu.DenEnToshi,odpt.Operator:Tokyu,27,false
池上線,odpt.Railway:Tokyu.Ikegami,odpt.Operator:Tokyu,15,false
こどもの国線,odpt.Railway:Tokyu.Kodomonokuni,odpt.Operator:Tokyu,3,false
目黒線,odpt.Railway:Tokyu.Meguro,odpt.Operator:Tokyu,13,false
大井町線,odpt.Railway:Tokyu.Oimachi,odpt.Operator:Tokyu,16,false
東急多摩川線,odpt.Railway:Tokyu.TokyuTamagawa,odpt.Operator:Tokyu,7,false
東横線,odpt.Railway:Tokyu.Toyoko,odpt.Operator:Tokyu,21,false
大師線,odpt.Railway:Tobu.Daishi,odpt.Operator:Tobu,2,false
伊勢崎線,odpt.Railway:Tobu.Isesaki,odpt.Operator:Tobu,26,false
亀戸線,odpt.Railway:Tobu.Kameido,odpt.Operator:Tobu,5,false
鬼怒川線,odpt.Railway:Tobu.Kinugawa,odpt.Operator:Tobu,9,false
桐生線,odpt.Railway:Tobu.Kiryu,odpt.Operator:Tobu,8,false
小泉線(東小泉-太田),odpt.Railway:Tobu.KoizumiBranch,odpt.Operator:Tobu,3,false
小泉線,odpt.Railway:Tobu.Koizumi,odpt.Operator:Tobu,7,false
日光線,odpt.Railway:Tobu.Nikko,odpt.Operator:Tobu,26,false
越生線,odpt.Railway:Tobu.Ogose,odpt.Operator:Tobu,8,false
佐野線,odpt.Railway:Tobu.Sano,odpt.Operator:Tobu,10,false
東武スカイツリーライン(押上-曳舟),odpt.Railway:Tobu.TobuSkytreeBranch,odpt.Operator:Tobu,2,false
東武スカイツリーライン,odpt.Railway:Tobu.TobuSkytree,odpt.Operator:Tobu,29,false
東武アーバンパークライン,odpt.Railway:Tobu.TobuUrbanPark,odpt.Operator:Tobu,35,false
東上線,odpt.Railway:Tobu.Tojo,odpt.Operator:Tobu,38,false
宇都宮線,odpt.Railway:Tobu.Utsunomiya,odpt.Operator:Tobu,11,false
ゆりかもめ,odpt.Railway:Yurikamome.Yurikamome,odpt.Operator:Yurikamome,16,false
