15,下諏訪,odpt.Station:JR-East.Chuo.ShimoSuwa,36.07204,138.08523
15,新府,odpt.Station:JR-East.Chuo.Shimpu,35.73709,138.43317
15,信濃境,odpt.Station:JR-East.Chuo.ShinanoSakai,35.88484,138.27522
15,笹子,odpt.Station:JR-East.Chuo.Sasago,35.60393,138.82533
15,塩尻,odpt.Station:JR-East.Chuo.Shiojiri,36.11453,137.94774
15,四方津,odpt.Station:JR-East.Chuo.Shiotsu,35.61406,139.07349
15,塩崎,odpt.Station:JR-East.Chuo.Shiozaki,35.68765,138.48799
15,すずらんの里,odpt.Station:JR-East.Chuo.Suzurannosato,35.93047,138.21179
15,高尾,odpt.Station:JR-East.Chuo.Takao,35.6424,139.28264
15,鳥沢,odpt.Station:JR-East.Chuo.Torisawa,35.60818,139.00319
15,上野原,odpt.Station:JR-East.Chuo.Uenohara,35.61823,139.11516
15,山梨市,odpt.Station:JR-East.Chuo.Yamanashishi,35.68488,138.68297
15,梁川,odpt.Station:JR-East.Chuo.Yanagawa,35.60601,139.03711
47,今市,odpt.Station:JR-East.Nikko.Imaichi,36.72034,139.68729
35,上総亀山,odpt.Station:JR-East.Kururi.KazusaKameyama,35.23302,140.08926
15,塩山,odpt.Station:JR-East.Chuo.Enzan,35.70515,138.73463
8,喜多方,odpt.Station:JR-East.BanetsuWest.Kitakata,37.64385,139.86834
15,富士見,odpt.Station:JR-East.Chuo.Fujimi,35.91206,138.238
65,会津若松,odpt.Station:JR-East.Tadami.AizuWakamatsu,37.50887,139.93001
15,穴山,odpt.Station:JR-East.Chuo.Anayama,35.7507,138.41382
15,青柳,odpt.Station:JR-East.Chuo.Aoyagi,35.94261,138.19745
15,茅野,odpt.Station:JR-East.Chuo.Chino,35.99483,138.15189
47,鹿沼,odpt.Station:JR-East.Nikko.Kanuma,36.57119,139.76284
15,藤野,odpt.Station:JR-East.Chuo.Fujino,35.61601,139.15127
21,熱海,odpt.Station:JR-East.Ito.Atami,35.10356,139.07768
15,初狩,odpt.Station:JR-East.Chuo.Hatsukari,35.59406,138.88351
15,猿橋,odpt.Station:JR-East.Chuo.Saruhashi,35.61267,138.96823
15,東山梨,odpt.Station:JR-East.Chuo.HigashiYamanashi,35.69432,138.70297
15,日野春,odpt.Station:JR-East.Chuo.Hinoharu,35.79041,138.3941
15,石和温泉,odpt.Station:JR-East.Chuo.IsawaOnsen,35.65738,138.63436
15,甲斐大和,odpt.Station:JR-East.Chuo.KaiYamato,35.63933,138.78157
15,上諏訪,odpt.Station:JR-East.Chuo.KamiSuwa,36.04677,138.11606
15,春日居町,odpt.Station:JR-East.Chuo.Kasugaicho,35.67321,138.65881
21,伊東,odpt.Station:JR-East.Ito.Ito,34.97469,139.09185
15,勝沼ぶどう郷,odpt.Station:JR-East.Chuo.Katsunumabudokyo,35.67266,138.74296
15,小淵沢,odpt.Station:JR-East.Chuo.Kobuchizawa,35.86374,138.31633
47,日光,odpt.Station:JR-East.Nikko.Nikko,36.74728,139.62201
15,甲府,odpt.Station:JR-East.Chuo.Kofu,35.66682,138.56881
21,網代,odpt.Station:JR-East.Ito.Ajiro,35.04329,139.08102
15,みどり湖,odpt.Station:JR-East.Chuo.Midoriko,36.09398,137.9819
15,韮崎,odpt.Station:JR-East.Chuo.Nirasaki,35.70959,138.45132
15,長坂,odpt.Station:JR-East.Chuo.Nagasaka,35.82707,138.36632
15,岡谷,odpt.Station:JR-East.Chuo.Okaya,36.05648,138.04495
15,大月,odpt.Station:JR-East.Chuo.Otsuki,35.61323,138.94267
52,小俣,odpt.Station:JR-East.Ryomo.Omata,36.37482,139.37427
52,思川,odpt.Station:JR-East.Ryomo.Omoigawa,36.35094,139.78118
15,竜王,odpt.Station:JR-East.Chuo.Ryuo,35.66849,138.5191
15,相模湖,odpt.Station:JR-East.Chuo.Sagamiko,35.61712,139.18848
15,酒折,odpt.Station:JR-East.Chuo.Sakaori,35.6596,138.59909
52,小山,odpt.Station:JR-East.Ryomo.Oyama,36.31261,139.80618
1,長野原草津口,odpt.Station:JR-East.Agatsuma.Naganoharakusatsuguchi,36.54649,138.64958
13,阿佐ケ谷,odpt.Station:JR-East.ChuoRapid.Asagaya,35.70462,139.63566
13,八王子,odpt.Station:JR-East.ChuoRapid.Hachioji,35.65545,139.33903
13,東小金井,odpt.Station:JR-East.ChuoRapid.HigashiKoganei,35.70156,139.52373
13,日野,odpt.Station:JR-East.ChuoRapid.Hino,35.67851,139.39346
13,神田,odpt.Station:JR-East.ChuoRapid.Kanda,35.69157,139.77065
13,吉祥寺,odpt.Station:JR-East.ChuoRapid.Kichijoji,35.70295,139.57984
47,下野大沢,odpt.Station:JR-East.Nikko.ShimotsukeOsawa,36.68674,139.73228
13,高円寺,odpt.Station:JR-East.ChuoRapid.Koenji,35.70518,139.64955
13,国分寺,odpt.Station:JR-East.ChuoRapid.Kokubunji,35.6999,139.48096
13,国立,odpt.Station:JR-East.ChuoRapid.Kunitachi,35.69906,139.44651
13,三鷹,odpt.Station:JR-East.ChuoRapid.Mitaka,35.70268,139.56067
13,武蔵小金井,odpt.Station:JR-East.ChuoRapid.MusashiKoganei,35.70101,139.50595
29,宝積寺,odpt.Station:JR-East.Karasuyama.Hoshakuji,36.63147,139.97949
13,武蔵境,odpt.Station:JR-East.ChuoRapid.MusashiSakai,35.70184,139.54345
13,中野,odpt.Station:JR-East.ChuoRapid.Nakano,35.70573,139.66594
13,西八王子,odpt.Station:JR-East.ChuoRapid.NishiHachioji,35.65601,139.31181
