吾妻線,odpt.Railway:JR-East.Agatsuma,odpt.Operator:JR-East,1
秋田新幹線,odpt.Railway:JR-East.AkitaShinkansen,odpt.Operator:JR-East,0
左沢線,odpt.Railway:JR-East.Aterazawa,odpt.Operator:JR-East,0
北陸新幹線,odpt.Railway:JR-East.HokurikuShinkansen,odpt.Operator:JR-East,0
磐越東線,odpt.Railway:JR-East.BanetsuEast,odpt.Operator:JR-East,0
飯山線,odpt.Railway:JR-East.Iiyama,odpt.Operator:JR-East,0
石巻線,odpt.Railway:JR-East.Ishinomaki,odpt.Operator:JR-East,0
磐越西線,odpt.Railway:JR-East.BanetsuWest,odpt.Operator:JR-East,1
釜石線,odpt.Railway:JR-East.Kamaishi,odpt.Operator:JR-East,0
気仙沼線,odpt.Railway:JR-East.Kesennuma,odpt.Operator:JR-East,0
中央線快速,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,24
中央・総武各駅停車,odpt.Railway:JR-East.ChuoSobuLocal,odpt.Operator:JR-East,39
中央本線,odpt.Railway:JR-East.Chuo,odpt.Operator:JR-East,38
越後線,odpt.Railway:JR-East.Echigo,odpt.Operator:JR-East,0
五能線,odpt.Railway:JR-East.Gono,odpt.Operator:JR-East,0
八高線,odpt.Railway:JR-East.Hachiko,odpt.Operator:JR-East,24
八戸線,odpt.Railway:JR-East.Hachinohe,odpt.Operator:JR-East,0
花輪線,odpt.Railway:JR-East.Hanawa,odpt.Operator:JR-East,0
伊東線,odpt.Railway:JR-East.Ito,odpt.Operator:JR-East,6
五日市線,odpt.Railway:JR-East.Itsukaichi,odpt.Operator:JR-East,7
常磐線各駅停車,odpt.Railway:JR-East.JobanLocal,odpt.Operator:JR-East,14
陸羽東線,odpt.Railway:JR-East.RikuEast,odpt.Operator:JR-East,0
常磐線快速,odpt.Railway:JR-East.JobanRapid,odpt.Operator:JR-East,13
常磐線,odpt.Railway:JR-East.Joban,odpt.Operator:JR-East,68
上越新幹線,odpt.Railway:JR-East.JoetsuShinkansen,odpt.Operator:JR-East,0
上越線,odpt.Railway:JR-East.Joetsu,odpt.Operator:JR-East,0
